"Length"	"GC"
"WBGene00000227"	7662	0.43265465935787
"WBGene00000228"	3246	0.428835489833641
"WBGene00000229"	1929	0.485225505443235
"WBGene00000230"	1132	0.419611307420495
"WBGene00000231"	3788	0.49181626187962
"WBGene00000232"	2248	0.37144128113879
"WBGene00000233"	2532	0.404028436018957
"WBGene00000235"	540	0.431481481481481
"WBGene00000236"	717	0.387726638772664
"WBGene00000237"	3442	0.435502614758861
"WBGene00000238"	2592	0.413194444444444
"WBGene00000239"	1684	0.438836104513064
"WBGene00000240"	1587	0.419659735349716
"WBGene00000241"	1919	0.452318916102137
"WBGene00000242"	2263	0.349977905435263
"WBGene00000244"	1710	0.423391812865497
"WBGene00000245"	1261	0.40761300555115
"WBGene00000246"	2056	0.381322957198444
"WBGene00000247"	1335	0.400749063670412
"WBGene00000248"	2008	0.398406374501992
"WBGene00000249"	567	0.398589065255732
"WBGene00000250"	1044	0.397509578544061
"WBGene00000251"	3205	0.463650546021841
"WBGene00000252"	1009	0.478691774033697
"WBGene00000253"	4662	0.413770913770914
"WBGene00000254"	6905	0.390876176683563
"WBGene00000255"	690	0.388405797101449
"WBGene00000256"	1023	0.515151515151515
"WBGene00000257"	3060	0.436274509803922
"WBGene00000259"	3937	0.399796799593599
"WBGene00000262"	870	0.420689655172414
"WBGene00000263"	460	0.465217391304348
"WBGene00000264"	2051	0.385177961969771
"WBGene00000265"	2208	0.408514492753623
"WBGene00000266"	2123	0.373528026377767
"WBGene00000267"	1278	0.367762128325509
"WBGene00000268"	2121	0.401697312588402
"WBGene00000269"	1430	0.44965034965035
"WBGene00000270"	1069	0.361085126286249
"WBGene00000271"	2561	0.402577118313159
"WBGene00000272"	897	0.387959866220736
"WBGene00000273"	1813	0.478764478764479
"WBGene00000274"	5224	0.448889739663093
"WBGene00000275"	3062	0.440561724363161
"WBGene00000276"	1563	0.422904670505438
"WBGene00000277"	2132	0.443245778611632
"WBGene00000279"	912	0.387061403508772
"WBGene00000280"	1198	0.377295492487479
"WBGene00000281"	1080	0.45462962962963
"WBGene00000282"	1148	0.433797909407665
"WBGene00000283"	1091	0.44179651695692
"WBGene00000284"	1342	0.450819672131148
"WBGene00000285"	796	0.364321608040201
"WBGene00000286"	764	0.37696335078534
"WBGene00000287"	848	0.406839622641509
"WBGene00000288"	1659	0.392405063291139
"WBGene00000289"	3360	0.432440476190476
"WBGene00000292"	1150	0.406086956521739
"WBGene00000293"	1260	0.427777777777778
"WBGene00000294"	4007	0.466683304217619
"WBGene00000295"	1914	0.427899686520376
"WBGene00000296"	1786	0.462486002239642
"WBGene00000298"	894	0.384787472035794
"WBGene00000301"	836	0.438995215311005
"WBGene00000302"	1233	0.3779399837794
"WBGene00000308"	84	0.583333333333333
"WBGene00000310"	82	0.609756097560976
"WBGene00000311"	82	0.609756097560976
"WBGene00000366"	7125	0.44519298245614
"WBGene00000367"	6414	0.40473963205488
"WBGene00000368"	1999	0.439219609804902
"WBGene00000369"	1311	0.447749809305873
"WBGene00000370"	1097	0.436645396536007
"WBGene00000371"	804	0.431592039800995
"WBGene00000372"	1620	0.375925925925926
"WBGene00000373"	1767	0.379173740803622
"WBGene00000374"	1389	0.431245500359971
"WBGene00000375"	1769	0.386093838326738
"WBGene00000376"	4499	0.418315181151367
"WBGene00000377"	1868	0.453961456102784
"WBGene00000378"	1931	0.43190056965303
"WBGene00000379"	1854	0.435814455231931
"WBGene00000380"	1935	0.450129198966408
"WBGene00000381"	1910	0.453403141361257
"WBGene00000382"	1754	0.413911060433295
"WBGene00000383"	3469	0.392908619198616
"WBGene00000386"	2334	0.421165381319623
"WBGene00000387"	2476	0.449919224555735
"WBGene00000388"	1138	0.383128295254833
"WBGene00000389"	948	0.406118143459916
"WBGene00000390"	1346	0.398216939078752
"WBGene00000391"	903	0.369878183831672
"WBGene00000392"	635	0.42992125984252
"WBGene00000393"	2133	0.409751523675574
"WBGene00000395"	10155	0.380108321024126
"WBGene00000396"	13413	0.397301125773503
"WBGene00000397"	4883	0.403440507884497
"WBGene00000399"	4476	0.440125111706881
"WBGene00000401"	2200	0.432272727272727
"WBGene00000402"	5431	0.446326643343767
"WBGene00000403"	3523	0.439114391143911
"WBGene00000405"	1225	0.430204081632653
"WBGene00000406"	1534	0.395697522816167
"WBGene00000407"	1105	0.419909502262443
"WBGene00000408"	1347	0.397921306607275
"WBGene00000409"	1998	0.397897897897898
"WBGene00000410"	1660	0.440361445783133
"WBGene00000411"	1600	0.439375
"WBGene00000412"	946	0.394291754756871
"WBGene00000413"	2651	0.408147868728782
"WBGene00000414"	1239	0.398708635996772
"WBGene00000415"	3925	0.471082802547771
"WBGene00000416"	1095	0.463926940639269
"WBGene00000417"	2437	0.426343865408289
"WBGene00000418"	1950	0.394871794871795
"WBGene00000419"	5683	0.378321309167693
"WBGene00000420"	1694	0.448051948051948
"WBGene00000421"	5690	0.386994727592267
"WBGene00000422"	1572	0.377862595419847
"WBGene00000423"	1299	0.464203233256351
"WBGene00000424"	1661	0.375677302829621
"WBGene00000425"	4358	0.39674162459844
"WBGene00000426"	2325	0.389677419354839
"WBGene00000427"	412	0.371359223300971
"WBGene00000428"	576	0.409722222222222
"WBGene00000429"	823	0.394896719319563
"WBGene00000430"	600	0.383333333333333
"WBGene00000431"	1601	0.396002498438476
"WBGene00000432"	255	0.372549019607843
"WBGene00000433"	1010	0.375247524752475
"WBGene00000434"	471	0.416135881104034
"WBGene00000435"	1095	0.423744292237443
"WBGene00000436"	545	0.392660550458716
"WBGene00000437"	1131	0.391688770999116
"WBGene00000438"	1056	0.452651515151515
"WBGene00000439"	942	0.410828025477707
"WBGene00000440"	717	0.417015341701534
"WBGene00000441"	2613	0.422120168388825
"WBGene00000442"	857	0.346557759626604
"WBGene00000443"	1279	0.405785770132916
"WBGene00000444"	2744	0.45298833819242
"WBGene00000445"	1680	0.419047619047619
"WBGene00000446"	1042	0.411708253358925
"WBGene00000447"	900	0.444444444444444
"WBGene00000448"	2264	0.40017667844523
"WBGene00000449"	918	0.428104575163399
"WBGene00000450"	711	0.369901547116737
"WBGene00000451"	1025	0.428292682926829
"WBGene00000452"	1096	0.385948905109489
"WBGene00000453"	1862	0.402255639097744
"WBGene00000454"	820	0.395121951219512
"WBGene00000455"	1093	0.415370539798719
"WBGene00000457"	836	0.48444976076555
"WBGene00000458"	1567	0.404594767070836
"WBGene00000459"	2742	0.402261123267688
"WBGene00000460"	1851	0.440842787682334
"WBGene00000461"	1067	0.416119962511715
"WBGene00000462"	1386	0.408369408369408
"WBGene00000463"	1055	0.415165876777251
"WBGene00000464"	5029	0.443626963611056
"WBGene00000465"	1889	0.489677077818952
"WBGene00000466"	2221	0.385411976587123
"WBGene00000467"	2136	0.385767790262172
"WBGene00000468"	837	0.407407407407407
"WBGene00000469"	1002	0.411177644710579
"WBGene00000472"	1381	0.459811730629978
"WBGene00000473"	1010	0.485148514851485
"WBGene00000474"	1069	0.459307764265669
"WBGene00000475"	1283	0.478565861262666
"WBGene00000476"	1404	0.397435897435897
"WBGene00000477"	3858	0.375324002073613
"WBGene00000478"	2075	0.44144578313253
"WBGene00000479"	2273	0.443906731192257
"WBGene00000480"	2476	0.440226171243942
"WBGene00000481"	2070	0.457971014492754
"WBGene00000482"	5563	0.442926478518785
"WBGene00000483"	822	0.391727493917275
"WBGene00000484"	2427	0.408735063864854
"WBGene00000485"	12516	0.376318312559923
"WBGene00000487"	1968	0.397357723577236
"WBGene00000488"	1753	0.425556189389618
"WBGene00000490"	4314	0.38317107093185
"WBGene00000491"	4298	0.388785481619358
"WBGene00000492"	1428	0.380252100840336
"WBGene00000493"	3005	0.367054908485857
"WBGene00000496"	4381	0.415430267062315
"WBGene00000497"	6098	0.427517218760249
"WBGene00000498"	1789	0.49357182783678
"WBGene00000499"	1853	0.444684295736643
"WBGene00000500"	1190	0.387394957983193
"WBGene00000501"	1968	0.439532520325203
"WBGene00000502"	1237	0.391269199676637
"WBGene00000503"	2041	0.454189122978932
"WBGene00000506"	1087	0.371665133394664
"WBGene00000507"	2049	0.383601756954612
"WBGene00000508"	2168	0.412361623616236
"WBGene00000509"	1715	0.384256559766764
"WBGene00000510"	1665	0.435435435435435
"WBGene00000511"	1349	0.362490733876946
"WBGene00000512"	1315	0.381749049429658
"WBGene00000513"	1107	0.394760614272809
"WBGene00000514"	1366	0.420204978038067
"WBGene00000515"	1259	0.363780778395552
"WBGene00000516"	809	0.447466007416564
"WBGene00000517"	1488	0.418010752688172
"WBGene00000518"	2130	0.40093896713615
"WBGene00000519"	2112	0.428030303030303
"WBGene00000520"	2355	0.381316348195329
"WBGene00000521"	2306	0.397224631396357
"WBGene00000522"	828	0.403381642512077
"WBGene00000523"	969	0.380804953560372
"WBGene00000524"	861	0.423925667828107
"WBGene00000525"	585	0.418803418803419
"WBGene00000526"	1139	0.367866549604917
"WBGene00000527"	4376	0.417504570383912
"WBGene00000528"	3073	0.453302961275626
"WBGene00000529"	3004	0.428095872170439
"WBGene00000530"	3831	0.401200730879666
"WBGene00000531"	3374	0.419976289270895
"WBGene00000532"	2688	0.405505952380952
"WBGene00000533"	2660	0.400375939849624
"WBGene00000534"	1526	0.4043250327654
"WBGene00000535"	556	0.372302158273381
"WBGene00000536"	740	0.406756756756757
"WBGene00000537"	2808	0.401709401709402
"WBGene00000539"	1446	0.385892116182573
"WBGene00000540"	1395	0.405017921146953
"WBGene00000541"	1471	0.401087695445275
"WBGene00000542"	2977	0.45045347665435
"WBGene00000543"	2580	0.372093023255814
"WBGene00000544"	2303	0.462440295267043
"WBGene00000545"	2306	0.460971379011275
"WBGene00000546"	1987	0.460996477101158
"WBGene00000547"	2715	0.465561694290976
"WBGene00000548"	4939	0.401700749139502
"WBGene00000549"	3325	0.470676691729323
"WBGene00000550"	4405	0.410215664018161
"WBGene00000551"	1763	0.549064095292116
"WBGene00000552"	1470	0.410204081632653
"WBGene00000553"	1524	0.467847769028871
"WBGene00000554"	1154	0.395147313691508
"WBGene00000555"	189	0.428571428571429
"WBGene00000556"	360	0.416666666666667
"WBGene00000557"	441	0.458049886621315
"WBGene00000558"	435	0.393103448275862
"WBGene00000559"	207	0.454106280193237
"WBGene00000560"	394	0.49238578680203
"WBGene00000561"	785	0.368152866242038
"WBGene00000562"	2799	0.38442300821722
"WBGene00000563"	1959	0.359877488514548
"WBGene00000564"	3047	0.439448638004595
"WBGene00000565"	3239	0.466810744056808
"WBGene00000566"	4368	0.458562271062271
"WBGene00000567"	2141	0.401214385801028
"WBGene00000583"	1591	0.397234443746072
"WBGene00000584"	1192	0.466442953020134
"WBGene00000585"	2202	0.38283378746594
"WBGene00000591"	2925	0.423247863247863
"WBGene00000592"	2063	0.422200678623364
"WBGene00000593"	938	0.562899786780384
"WBGene00000594"	972	0.577160493827161
"WBGene00000596"	1019	0.502453385672228
"WBGene00000597"	921	0.530944625407166
"WBGene00000598"	1020	0.519607843137255
"WBGene00000599"	961	0.574401664932362
"WBGene00000601"	1084	0.523062730627306
"WBGene00000602"	951	0.549947423764458
"WBGene00000603"	1077	0.504178272980501
"WBGene00000606"	1094	0.526508226691042
"WBGene00000608"	1274	0.489010989010989
"WBGene00000609"	1057	0.51844843897824
"WBGene00000610"	990	0.566666666666667
"WBGene00000611"	961	0.569198751300728
"WBGene00000612"	1029	0.54421768707483
"WBGene00000613"	1102	0.519963702359347
"WBGene00000614"	993	0.530715005035247
"WBGene00000615"	927	0.481121898597627
"WBGene00000616"	1051	0.56232159847764
"WBGene00000617"	1012	0.594861660079051
"WBGene00000618"	1377	0.541031227305737
"WBGene00000620"	1022	0.559686888454012
"WBGene00000621"	915	0.570491803278689
"WBGene00000622"	1021	0.571988246816846
"WBGene00000623"	1113	0.520215633423181
"WBGene00000624"	753	0.49933598937583
"WBGene00000625"	901	0.576026637069922
"WBGene00000626"	912	0.503289473684211
"WBGene00000627"	1323	0.597883597883598
"WBGene00000628"	1269	0.598896769109535
"WBGene00000629"	907	0.475192943770673
"WBGene00000630"	901	0.447280799112098
"WBGene00000631"	936	0.452991452991453
"WBGene00000632"	465	0.518279569892473
"WBGene00000633"	966	0.433747412008282
"WBGene00000634"	994	0.476861167002012
"WBGene00000636"	1127	0.452528837622005
"WBGene00000637"	949	0.478398314014752
"WBGene00000638"	1023	0.500488758553275
"WBGene00000639"	1220	0.494262295081967
"WBGene00000640"	1113	0.467205750224618
"WBGene00000641"	1048	0.547709923664122
"WBGene00000642"	639	0.586854460093897
"WBGene00000644"	1110	0.511711711711712
"WBGene00000645"	1185	0.517299578059072
"WBGene00000646"	1401	0.538900785153462
"WBGene00000647"	1191	0.560033585222502
"WBGene00000648"	904	0.523230088495575
"WBGene00000649"	978	0.534764826175869
"WBGene00000650"	1091	0.493125572868928
"WBGene00000651"	948	0.424050632911392
"WBGene00000652"	1628	0.458845208845209
"WBGene00000653"	1024	0.533203125
"WBGene00000654"	837	0.461170848267622
"WBGene00000655"	922	0.495661605206074
"WBGene00000656"	1039	0.564966313763234
"WBGene00000657"	1078	0.532467532467532
"WBGene00000658"	1041	0.516810758885687
"WBGene00000659"	1057	0.544938505203406
"WBGene00000660"	951	0.621451104100946
"WBGene00000661"	972	0.481481481481481
"WBGene00000662"	1647	0.558591378263509
"WBGene00000663"	961	0.576482830385016
"WBGene00000664"	987	0.505572441742654
"WBGene00000665"	1131	0.451812555260831
"WBGene00000666"	983	0.538148524923703
"WBGene00000667"	976	0.581967213114754
"WBGene00000668"	998	0.57815631262525
"WBGene00000669"	999	0.571571571571572
"WBGene00000670"	1161	0.534883720930233
"WBGene00000671"	870	0.597701149425287
"WBGene00000672"	1186	0.513490725126476
"WBGene00000673"	1112	0.570143884892086
"WBGene00000674"	2588	0.564914992272025
"WBGene00000675"	1106	0.527124773960217
"WBGene00000676"	1383	0.618944323933478
"WBGene00000677"	1169	0.596236099230111
"WBGene00000678"	921	0.543973941368078
"WBGene00000679"	873	0.58991981672394
"WBGene00000680"	921	0.576547231270358
"WBGene00000681"	938	0.602345415778252
"WBGene00000682"	915	0.577049180327869
"WBGene00000683"	1226	0.526101141924959
"WBGene00000684"	1029	0.506316812439261
"WBGene00000685"	1249	0.522818254603683
"WBGene00000687"	1089	0.482093663911846
"WBGene00000688"	966	0.51656314699793
"WBGene00000689"	1297	0.452582883577486
"WBGene00000690"	942	0.493630573248408
"WBGene00000691"	975	0.576410256410256
"WBGene00000692"	983	0.502543234994913
"WBGene00000693"	990	0.528282828282828
"WBGene00000694"	1035	0.477294685990338
"WBGene00000695"	1135	0.441409691629956
"WBGene00000696"	976	0.567622950819672
"WBGene00000697"	1123	0.502226179875334
"WBGene00000698"	1144	0.510489510489511
"WBGene00000699"	945	0.580952380952381
"WBGene00000700"	885	0.532203389830509
"WBGene00000701"	885	0.532203389830509
"WBGene00000702"	1379	0.43437273386512
"WBGene00000703"	1147	0.510026155187446
"WBGene00000704"	965	0.547150259067357
"WBGene00000705"	939	0.51863684771033
"WBGene00000706"	896	0.5234375
"WBGene00000707"	974	0.529774127310062
"WBGene00000708"	2087	0.503593675131768
"WBGene00000709"	867	0.469434832756632
"WBGene00000710"	1133	0.524271844660194
"WBGene00000711"	943	0.565217391304348
"WBGene00000712"	1029	0.556851311953353
"WBGene00000713"	969	0.552115583075335
"WBGene00000714"	1011	0.560830860534125
"WBGene00000715"	1045	0.569377990430622
"WBGene00000716"	1016	0.56496062992126
"WBGene00000717"	953	0.577124868835257
"WBGene00000718"	901	0.582685904550499
"WBGene00000719"	939	0.547390841320554
"WBGene00000720"	1178	0.505942275042445
"WBGene00000721"	888	0.468468468468468
"WBGene00000722"	1048	0.488549618320611
"WBGene00000723"	982	0.485743380855397
"WBGene00000724"	987	0.486322188449848
"WBGene00000725"	885	0.473446327683616
"WBGene00000726"	1295	0.427799227799228
"WBGene00000727"	1103	0.498640072529465
"WBGene00000728"	958	0.525052192066806
"WBGene00000729"	982	0.516293279022403
"WBGene00000730"	922	0.539045553145336
"WBGene00000731"	1216	0.491776315789474
"WBGene00000732"	1038	0.561657032755299
"WBGene00000733"	1122	0.551693404634581
"WBGene00000734"	937	0.530416221985059
"WBGene00000735"	907	0.543550165380375
"WBGene00000736"	2223	0.496176338281601
"WBGene00000737"	1266	0.518167456556082
"WBGene00000738"	1060	0.528301886792453
"WBGene00000739"	1060	0.565094339622642
"WBGene00000740"	1086	0.548802946593002
"WBGene00000741"	1015	0.577339901477833
"WBGene00000742"	968	0.578512396694215
"WBGene00000743"	1013	0.568608094768016
"WBGene00000744"	924	0.545454545454545
"WBGene00000745"	1309	0.478991596638655
"WBGene00000746"	1157	0.476231633535004
"WBGene00000747"	1295	0.472586872586873
"WBGene00000748"	923	0.504875406283857
"WBGene00000749"	956	0.561715481171548
"WBGene00000750"	1391	0.448598130841121
"WBGene00000751"	961	0.520291363163371
"WBGene00000752"	972	0.508230452674897
"WBGene00000753"	974	0.56570841889117
"WBGene00000754"	1095	0.526027397260274
"WBGene00000755"	822	0.524330900243309
"WBGene00000756"	951	0.559411146161935
"WBGene00000757"	1006	0.533797216699801
"WBGene00000758"	946	0.571881606765328
"WBGene00000759"	1211	0.505367464905037
"WBGene00000760"	924	0.512987012987013
"WBGene00000761"	1562	0.387964148527529
"WBGene00000762"	1371	0.422319474835886
"WBGene00000763"	949	0.458377239199157
"WBGene00000764"	753	0.422310756972112
"WBGene00000765"	968	0.397727272727273
"WBGene00000766"	1371	0.417943107221007
"WBGene00000767"	2366	0.402789518174134
"WBGene00000768"	1985	0.47455919395466
"WBGene00000770"	2122	0.429311969839774
"WBGene00000771"	1847	0.416892257715214
"WBGene00000772"	2803	0.415982875490546
"WBGene00000773"	1455	0.415120274914089
"WBGene00000774"	1173	0.465473145780051
"WBGene00000775"	1382	0.364688856729378
"WBGene00000776"	1191	0.479429051217464
"WBGene00000777"	977	0.430910951893552
"WBGene00000778"	1179	0.389312977099237
"WBGene00000779"	710	0.492957746478873
"WBGene00000780"	572	0.421328671328671
"WBGene00000781"	1114	0.483842010771993
"WBGene00000782"	1007	0.493545183714002
"WBGene00000783"	1350	0.42962962962963
"WBGene00000784"	1123	0.48886910062333
"WBGene00000785"	1205	0.507883817427386
"WBGene00000786"	1264	0.462816455696203
"WBGene00000787"	1019	0.426889106967615
"WBGene00000788"	1059	0.475920679886686
"WBGene00000789"	1564	0.414322250639386
"WBGene00000792"	5598	0.438192211504109
"WBGene00000793"	2035	0.461425061425061
"WBGene00000794"	1326	0.450980392156863
"WBGene00000795"	1068	0.415730337078652
"WBGene00000796"	2726	0.395818048422597
"WBGene00000797"	1162	0.432013769363167
"WBGene00000798"	747	0.416331994645248
"WBGene00000799"	1483	0.368846931894808
"WBGene00000800"	2988	0.443440428380187
"WBGene00000801"	1744	0.467889908256881
"WBGene00000802"	1411	0.486888731396173
"WBGene00000803"	3281	0.436452301127705
"WBGene00000804"	945	0.514285714285714
"WBGene00000812"	2604	0.411674347158218
"WBGene00000813"	1894	0.408130939809926
"WBGene00000814"	1629	0.355432780847145
"WBGene00000815"	1684	0.385985748218527
"WBGene00000816"	1697	0.391278727165586
"WBGene00000817"	1203	0.433915211970075
"WBGene00000818"	1480	0.429054054054054
"WBGene00000819"	1612	0.402605459057072
"WBGene00000820"	2725	0.450642201834862
"WBGene00000821"	1141	0.431200701139351
"WBGene00000822"	1409	0.436479772888573
"WBGene00000829"	1118	0.261180679785331
"WBGene00000830"	1579	0.48068397720076
